iter	Passed	Remaining
683	96644	44648
684	96802	44514
685	96959	44380
686	97113	44245
687	97272	44111
688	97408	43968
689	97546	43825
690	97689	43684
691	97815	43536
692	97978	43404
693	98124	43265
694	98264	43123
695	98399	42979
696	98530	42833
697	98675	42693
698	98817	42552
699	98949	42406
700	99089	42264
701	99216	42117
702	99368	41980
703	99516	41842
704	99653	41698
705	99804	41561
706	99959	41425
707	100100	41284
708	100227	41136
709	100356	40990
710	100496	40848
711	100654	40714
712	100771	40562
713	100924	40426
714	101059	40282
715	101205	40143
716	101331	39995
717	101449	39845
718	101587	39702
719	101727	39560
720	101875	39422
721	102023	39283
722	102178	39147
723	102325	39008
724	102473	38869
725	102607	38725
726	102747	38583
727	102878	38438
728	103019	38296
729	103169	38158
730	103305	38015
731	103440	37871
732	103592	37734
733	103728	37591
734	103858	37445
735	104005	37306
736	104123	37156
737	104246	37008
738	104384	36866
739	104508	36719
740	104619	36567
741	104718	36411
742	104866	36272
743	104998	36128
744	105140	35987
745	105293	35850
746	105441	35711
747	105586	35572
748	105721	35428
749	105856	35285
750	106010	35148
751	106170	35013
752	106307	34870
753	106467	34736
754	106604	34593
755	106739	34450
756	106875	34307
757	107028	34170
758	107171	34029
759	107315	33889
760	107458	33748
761	107602	33608
762	107719	33459
763	107879	33324
764	108009	33179
765	108148	33037
766	108308	32902
767	108448	32760
768	108588	32618
769	108719	32474
770	108874	32337
771	109020	32197
772	109170	32059
773	109312	31918
774	109455	31777
775	109614	31641
776	109754	31499
777	109883	31354
778	110028	31214
779	110179	31076
780	110320	30934
781	110471	30796
782	110614	30655
783	110766	30517
784	110902	30374
785	111027	30228
786	111167	30087
787	111319	29948
788	111470	29810
789	111616	29670
790	111763	29530
791	111888	29384
792	111988	29232
793	112117	29088
794	112259	28947
795	112403	28806
796	112516	28658
797	112659	28517
798	112788	28373
799	112918	28229
800	113051	28086
801	113181	27942
802	113335	27804
803	113466	27660
804	113609	27520
805	113743	27377
806	113865	27231
807	113997	27088
808	114135	26946
809	114270	26804
810	114419	26665
811	114559	26523
812	114696	26381
813	114840	26241
814	114974	26098
815	115137	25962
816	115276	25820
817	115424	25681
818	115580	25543
819	115690	25395
820	115773	25241
821	115877	25092
822	115979	24943
823	116069	24791
824	116158	24639
825	116241	24486
826	116330	24335
827	116423	24184
828	116515	24034
829	116644	23891
830	116753	23744
831	116876	23600
832	116994	23455
833	117114	23310
834	117249	23169
835	117373	23025
836	117498	22881
837	117620	22738
838	117749	22595
839	117883	22453
840	118010	22311
841	118158	22172
842	118293	22030
843	118460	21895
844	118622	21759
845	118771	21620
846	118907	21479
847	119062	21341
848	119196	21199
849	119334	21058
850	119480	20919
851	119629	20780
852	119779	20641
853	119936	20504
854	120084	20365
855	120218	20223
856	120363	20084
857	120518	19945
858	120666	19806
859	120805	19666
860	120956	19527
861	121108	19388
862	121258	19249
863	121409	19110
864	121559	18971
865	121714	18833
866	121860	18693
867	122004	18553
868	122128	18410
869	122254	18267
870	122399	18128
871	122536	17987
872	122686	17847
873	122838	17708
874	122983	17569
875	123134	17429
876	123277	17289
877	123400	17146
878	123555	17008
879	123692	16867
880	123857	16729
881	124011	16591
882	124180	16454
883	124314	16312
884	124466	16173
885	124624	16035
886	124765	15894
887	124902	15753
888	125041	15612
889	125170	15470
890	125317	15330
891	125457	15189
892	125623	15052
893	125781	14913
894	125924	14773
895	126056	14631
896	126212	14492
897	126356	14352
898	126504	14212
899	126636	14070
900	126786	13931
901	126921	13789
902	127046	13647
903	127195	13507
904	127348	13368
905	127477	13226
906	127607	13084
907	127759	12944
908	127896	12803
909	128039	12663
910	128169	12521
911	128316	12381
912	128466	12241
913	128610	12101
914	128753	11960
915	128900	11820
916	129033	11679
917	129196	11540
918	129356	11401
919	129508	11261
920	129649	11120
921	129800	10980
922	129938	10839
923	130074	10698
924	130224	10558
925	130375	10418
926	130506	10277
927	130645	10136
928	130799	9996
929	130933	9855
930	131049	9712
931	131199	9572
932	131344	9432
933	131496	9292
934	131653	9152
935	131800	9012
936	131955	8872
937	132125	8733
938	132277	8593
939	132422	8452
940	132579	8312
941	132719	8171
942	132873	8031
943	133026	7891
944	133177	7751
945	133337	7611
946	133479	7470
947	133617	7329
948	133767	7188
949	133920	7048
950	134043	6906
951	134169	6764
952	134326	6624
953	134478	6484
954	134624	6343
955	134766	6202
956	134909	6061
957	135056	5921
958	135193	5779
959	135342	5639
960	135494	5498
961	135622	5357
962	135753	5215
963	135897	5075
964	136056	4934
965	136190	4793
966	136325	4652
967	136456	4510
968	136605	4370
969	136735	4228
970	136890	4088
971	137041	3947
972	137196	3807
973	137347	3666
974	137509	3525
975	137653	3384
976	137793	3243
977	137948	3103
978	138090	2962
979	138215	2820
980	138340	2679
981	138493	2538
982	138634	2397
983	138784	2256
984	138933	2115
985	139096	1974
986	139260	1834
987	139397	1693
988	139551	1552
989	139697	1411
990	139845	1270
991	139994	1128
992	140110	987
993	140267	846
994	140412	705
995	140542	564
996	140692	423
997	140823	282
998	140969	141
999	141119	0
